"id","Completed","003","0002","0004","0005","0001","0001","0001","0001","0001","0001","0002","0001","0002","0001","0002","0001","0002","0001","0002","0001","0001","0001","0002","0001","0002","0001","0002","0003","0004","0005","0006","0007","0008","0009","0010","0011","0012","0013","0014","0015","0007 [Répliques]","0007 [Musique]","0007 [Qualité de l'histoire]","0007 [Revoir un film plusieurs fois sans se lasser]","0007 [L'avoir vu enfant]","0007 [Porteur d'émotion]"
"42","Y","20","Femme","France ","Oui","Musique","Yes","Star wars ","No","","Yes","Le roi lion ","Yes","Titanic ","Yes","Star Wars ","Yes","Titanic ","Yes","Le roi lion ","Yes","Seigneurs des anneaux ","Yes","Terminator ","Yes","Seigneur des anneaux ","","2-5 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","11-20 years old","","2-5 fois","11-20 years old","","0 fois","","Plutôt d'accord","D'accord","Plutôt d'accord","Neutre","Plutôt d'accord","Plutôt d'accord"
"44","Y","23","Homme","France ","Oui","Musique","Yes","Star Wars V","Yes","Terminator","Yes","Le livre de la jungle","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi lion","Yes","Le seigneur des anneaux","No","","Yes","Le seigneur des anneaux 1","","2-5 fois","11-20 years old","","1 fois","0-10 years old","","Plus de 5 fois","11-20 years old","","2-5 fois","11-20 years old","","1 fois","11-20 years old","Neutre","D'accord","Plutôt d'accord","Plutôt d'accord","Neutre","D'accord"
"45","Y","21","Homme","France ","Oui","Répliques","Yes","Star wars","No","","Yes","Le roi lion","Yes","?","Yes","Star wars","No","","Yes","Roi lion","Yes","?","Yes","?","Yes","Seigneur des anneaux","","1 fois","11-20 years old","","2-5 fois","0-10 years old","","1 fois","11-20 years old","","0 fois","","","0 fois","","D'accord","D'accord","Plutôt d'accord","D'accord","Plutôt pas d'accord","D'accord"
"46","Y","21","Homme","France ","Oui","Répliques","Yes","Star wars","No","","Yes","Le roi lion ","Yes","Titanic ","Yes","Star wars","Yes","Titanic ","Yes","Le roi lion ","Yes","Le seigneur des anneaux ","No","","Yes","Le seigneur des anneaux ","","2-5 fois","11-20 years old","","2-5 fois","0-10 years old","","1 fois","11-20 years old","","2-5 fois","11-20 years old","","0 fois","","D'accord","Plutôt d'accord","D'accord","Plutôt pas d'accord","Pas d'accord","Neutre"
"48","Y","23","Femme","France ","Oui","Répliques","Yes","Star Wars","No","","Yes","Le roi lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi lion","Yes","Le seigneur des anneaux","No","","Yes","Le seigneur des anneaux","","1 fois","11-20 years old","","2-5 fois","0-10 years old","","2-5 fois","0-10 years old","","2-5 fois","0-10 years old","","0 fois","","D'accord","D'accord","Plutôt d'accord","D'accord","D'accord","Plutôt d'accord"
"51","Y","22","Homme","France ","Oui","Musique","Yes","Star Wars","Yes","Terminator","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","No","","Yes","Le Roi Lion","Yes","Le Seigneur des Anneaux","No","","Yes","Le Seigneur des Anneaux","","1 fois","11-20 years old","","1 fois","0-10 years old","","2-5 fois","0-10 years old","","2-5 fois","0-10 years old","","1 fois","11-20 years old","Plutôt d'accord","D'accord","D'accord","Plutôt d'accord","Plutôt pas d'accord","Plutôt d'accord"
"54","Y","1e15","Homme","France ","Oui","Musique","Yes","StarWARS","Yes","TERMINATOR","Yes","AKUMANATATAAAAA","Yes","un remake du bateau qui koule (dans l'original c'est une flute)","Yes","Adri et les SW ","No","","Yes","Le roi Lyon","Yes","LA MEILLEURE TRILOGIE/LES MEILLEURS FILMS DE TOUS LES TEMPS !!! :')","Yes","Governator in almost all its movies","Yes","GO BACK TO THE SHADOWSSSS","","Plus de 5 fois","0-10 years old","","2-5 fois","0-10 years old","","1 fois","11-20 years old","","Plus de 5 fois","11-20 years old","","2-5 fois","11-20 years old","D'accord","D'accord","D'accord","Plutôt pas d'accord","Pas d'accord","D'accord"
"55","Y","21","Homme","France ","Oui","Répliques","Yes","Star Wars","No","","Yes","Le roi lion","Yes","Titanic","Yes","Star Wars","No","","Yes","Le roi lion","No","","No","","Yes","Le seigneur des anneaux","","2-5 fois","11-20 years old","","1 fois","0-10 years old","","1 fois","11-20 years old","","1 fois","11-20 years old","","0 fois","","Plutôt d'accord","D'accord","D'accord","Plutôt pas d'accord","Plutôt pas d'accord","Plutôt d'accord"
"56","Y","21","Femme","France ","Oui","Musique","Yes","Star Wars","No","","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le Roi Lion","No","","No","","No","","","2-5 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","11-20 years old","","0 fois","","","0 fois","","D'accord","D'accord","D'accord","D'accord","Plutôt d'accord","D'accord"
"57","Y","49","Femme","France ","Non","Répliques","Yes","Star wars","Yes","Terminator ","Yes","Le roi lion","Yes","Titanic","Yes","Star wars","Yes","Titanic","Yes","Le roi lion","Yes","Le seigneur des anneaux","Yes","Terminator","No","","","Plus de 5 fois","11-20 years old","","2-5 fois","More than 20 years old","","2-5 fois","More than 20 years old","","2-5 fois","More than 20 years old","","2-5 fois","More than 20 years old","D'accord","D'accord","D'accord","D'accord","Plutôt d'accord","D'accord"
"58","Y","29","Homme","Mexique ","Oui","Musique","Yes","Star Wars","Yes","Terminator","No","","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Lion King","Yes","Star Trek","Yes","Terminator","No","","","1 fois","0-10 years old","","1 fois","0-10 years old","","2-5 fois","11-20 years old","","2-5 fois","11-20 years old","","2-5 fois","0-10 years old","Pas d'accord","Pas d'accord","Pas d'accord","Pas d'accord","Plutôt pas d'accord","Neutre"
"59","Y","23","Homme","Maroc ","Oui","Musique","No","","No","","No","","Yes","titanic","Yes","Pirates des Caraïbes","No","","Yes","le roi lion","No","","Yes","terminator","Yes","senior des anneaux","","0 fois","","","0 fois","","","2-5 fois","11-20 years old","","0 fois","","","2-5 fois","11-20 years old","D'accord","D'accord","D'accord","Neutre","Pas d'accord","Plutôt pas d'accord"
"61","Y","22","Homme","France ","Oui","Musique","Yes","Star Wars 5","Yes","me souviens plus","Yes","Le roi lion ","Yes","Titanic","Yes","Star Wars 4","Yes","Titanic","Yes","Le roi Lion","Yes","Le seigneur des Anneaux","Yes","Terminator I","Yes","Le seigneur des anneaux 1","","1 fois","11-20 years old","","1 fois","0-10 years old","","0 fois","","","2-5 fois","11-20 years old","","0 fois","","D'accord","Plutôt d'accord","D'accord","D'accord","Neutre","D'accord"
"63","Y","21","Homme","Cameroun ","Oui","Répliques","No","","No","","No","","No","","No","","No","","No","","No","","No","","No","","","0 fois","","","1 fois","11-20 years old","","1 fois","11-20 years old","","0 fois","","","0 fois","","D'accord","D'accord","D'accord","Neutre","Pas d'accord","Plutôt d'accord"
